СОДЕРЖАНИЕ                             

"№
п/п"  Наименование                        стр.   
1  "Сводный перечень установленного оборудования"                        4   
2.1  "Индекс технического состояния"                        7   
2.2  Дефекты                        23   
3  "Схема электрических соединений подстанции"                        25   
4  "Схема установки блокировочных устройств"                        26   
5  "Схема питания собственных нужд и оперативных сетей"                        27   
6.1  Автотрансформаторы                        28   
6.2  "Трехобмоточные трансформаторы"                        37   
6.3  "Двухобмоточные трансформаторы (в т.ч. с расщ.обмот. и ТСН)"                        38   
6.4  "Линейные регулировочные / вольтодобавочные трансформаторы"                        49   
6.5  РПН/ПБВ                        50   
7.1  "Шунтирующие реакторы (трех и однофазные)"                        55   
7.2  "Управляемые шунтирующие реакторы"                        56   
7.3  "Токоограничивающие реакторы"                        57   
7.4  "Реакторы заземляющие, компенсационные"                        70   
8.1  "Синхронные компенсаторы"                        73   
8.2  "Батареи статических конденсаторов"                        74   
8.3  "Статические тиристорные компенсаторы"                        75   
9  Выключатели                        76   
10  "Разъединители, отделители, короткозамыкатели"                        82   
11  "Разрядники, ОПН"                        97   
12  Предохранители                        99   
13  "Секции шин"                        100   
14  "Масляное хозяйство"                        101   
15.1  "Комплектные распределительные устройства"                        102   
15.2  "Ячейка КРУН"                        103   
15.3  "Ячейка КРУЭ"                        105   
16  "Аккумуляторные батареи"                        106   
17  "Выпрямительные устройства, инверторы"                        107   
18  "Трансформаторы напряжения"                        108   
19  "Конденсатор связи"                        111   
20  "Трансформаторы тока"                        112   
21  ВЧ-заградитель                        123   
22  "Фильтр присоединения (ШОН)"                        126   
23  "Вводы 110 кВ и выше трансформаторов и выключателей"                        128   
24  "Подвесная и опорная изоляция"                        130   
25  "Данные об испытаниях"                        131   
26  "Релейная защита"                        214   
27  "Сетевая автоматика"                        217   
28  "Противоаварийная автоматика"                        218   
29  "Режимная автоматика"                        219   
30  "Регистрация аварийных событий и процессов"                        220   
31  "Технологическая автоматика"                        221   
32  "АСУ ТП (ССПИ)"                        222   
33  "Средства диспетчерского, технологического управления и связи"                        223   
34  "Пожарно-охранная сигнализация"                        226   
35.1  "Общие сведения о ЗУ"                        227   
35.2  "Схема заземления и молниезащиты"                        228   
35.3  "Результаты проверки ЗУ"                        229   
35.4  "Результаты проверки связей обор. энергообъекта с иск.зазем."                        230   
35.5  "Результаты контрольных измер. U прикосн. на энергообъекте"                        231   
36  Освещение                        232   
39  "Производственные здания ПС"                        233   
40  "Компрессорное хозяйство"                        234   
41  "Сосуды (баллоны), работающие под давлением"                        235   
