"25.    ДАННЫЕ ОБ ИСПЫТАНИЯХ"     

"Диспетчерское наименование" Дата "Номер заказа АСУ ТОиР" "Вид измерения, испытания" Результат "№ протокола"
"АТ-1 (ст.)" 22.01.2019 P02910182603 "ФИЗИКО-ХИМИЧЕСКОГО АНАЛИЗА ТРАНСФОРМАТОРНОГО МАСЛА"  0291-19/ФХА_МЭ/000021
"АТ-1 (ст.)" 10.04.2017 P02910164940 "ФИЗИКО-ХИМИЧЕСКОГО АНАЛИЗА ТРАНСФОРМАТОРНОГО МАСЛА"  0291-17/ФХАМ/000114
"АТ-3 (ст.)" 10.04.2017 P02910164941 "ФИЗИКО-ХИМИЧЕСКОГО АНАЛИЗА ТРАНСФОРМАТОРНОГО МАСЛА"  0291-17/ФХАМ/000115
"АТ-2 (ст.)" 10.04.2017 P02910183003 "ФИЗИКО-ХИМИЧЕСКОГО АНАЛИЗА ТРАНСФОРМАТОРНОГО МАСЛА"  0291-17/ФХАМ/000188
"РПН встр. во ввод СН-110 кВ АТ-1 ф.А" 10.04.2017 P02910182603 "ФИЗИКО-ХИМИЧЕСКОГО АНАЛИЗА ТРАНСФОРМАТОРНОГО МАСЛА"  0291-17/ФХАМ/000194
"РПН встр. во ввод СН-110 кВ АТ-1 ф.В" 10.04.2017 P02910182603 "ФИЗИКО-ХИМИЧЕСКОГО АНАЛИЗА ТРАНСФОРМАТОРНОГО МАСЛА"  0291-17/ФХАМ/000195
"АТ-4 (ст.)" 02.10.2017 P02910181362 "ФИЗИКО-ХИМИЧЕСКОГО АНАЛИЗА ТРАНСФОРМАТОРНОГО МАСЛА"  0291-17/ФХАМ/000212
"АТ-3 (ст.)" 10.04.2017 P02910182088 "ФИЗИКО-ХИМИЧЕСКОГО АНАЛИЗА ТРАНСФОРМАТОРНОГО МАСЛА"  0291-17/ФХАМ/000248
"РПН встр. во ввод СН-110 кВ АТ-1 ф.А" 18.04.2018 P02910182603 "ФИЗИКО-ХИМИЧЕСКОГО АНАЛИЗА ТРАНСФОРМАТОРНОГО МАСЛА"  0291-18/ФХАМ/000470
