"33. СРЕДСТВА ДИСПЕТЧЕРСКОГО, ТЕХНОЛОГИЧЕСКОГО УПРАВЛЕНИЯ И СВЯЗИ"      

"Наименование оборудования" Тип "Дата ввода в эксплуатацию" "Место расположения" "Фактическая дата проведения ТО" "Дата проведения следующего ТО" "Дата и номер 
Акта ТО"
"Панель основных защит автотрансфрматора" ПанельОперУправ 01.01.1900 "Оборудование СДТУ"   
"устройство зондирования радиоимпульсов" Преобразователь 01.01.1900 "Оборудование СДТУ"   
"объединенный пункт управления 500 кВ" "Дисп. Щит Упр." 01.01.1900 "Оборудование СДТУ"   
"Панель оперативного управления Тип КУ в" ПанельОперУправ 01.01.1900 "Оборудование СДТУ"   
"Универсальное телеметрическое устройство" "Регистрирующие приборы и устройства" 01.01.1900 "Оборудование СДТУ"   
"оборудование телефонной связи  устройств" ОборудГромкСвязи 01.01.1900 "Оборудование связи"   
"Панель оперативного управления Тип ПЭВ в" ПанельОперУправ 01.01.1900 "Оборудование СДТУ"   
"коммутатор КДМ диспетчерской связи" "Диспетчерский коммутатор" 01.01.1900 "Оборудование связи"   
"устройство зондов радиопульсов УЗР" Преобразователь 01.01.1900 "Оборудование СДТУ"   
"Панель основных защит во 220 кВ на щите" ПанельОперУправ 01.01.1900 "Оборудование СДТУ"   
"объединенный пункт управления подстанция" "Дисп. Щит Упр." 01.01.1900 "Оборудование СДТУ"   
"коммутатор КДМ диспетчерской связи" "Диспетчерский коммутатор" 01.01.1900 "Оборудование связи"   
"Информационное оборудование" "Оперативно информационный комплекс (ОИК" 01.01.1900 "Оборудование СДТУ"   
"Панель оперативного управления на щите у" ПанельОперУправ 01.01.1900 "Оборудование СДТУ"   
"Панель оперативного управления Тип ПЭВ в" ПанельОперУправ 01.01.1964 "Оборудование СДТУ"   
"Панель основных защит автотрансфрматора" ПанельОперУправ 30.06.2008 "Оборудование СДТУ"   
"Панель основных защит автотрансфрматора" ПанельОперУправ 30.06.2008 "Оборудование СДТУ"   
"Панель основных защит автотрансфрматора" ПанельОперУправ 30.06.2008 "Оборудование СДТУ"   
"Панель основных защит во 220 кВ на щите" ПанельОперУправ 30.06.2008 "Оборудование СДТУ"   
"Панель основных защит во 220 кВ на щите" ПанельОперУправ 30.06.2008 "Оборудование СДТУ"   
"Панель основных защит во 220 кВ на щите" ПанельОперУправ 30.06.2008 "Оборудование СДТУ"   
"Панель основных защит во 220 кВ на щите" ПанельОперУправ 30.06.2008 "Оборудование СДТУ"   
"Панель основных защит во 220 кВ на щите" ПанельОперУправ 30.06.2008 "Оборудование СДТУ"   
"АТС ПС Пахра" АТС 01.01.2009 "Оборудование связи"   
"Шкаф телекоммуникационный RITTAL TS8 №2" КоммутацОборудСвязи 30.09.2011 "Оборудование связи"   
"Шкаф телекоммуникационный RITTAL TS8 №3" КоммутацОборудСвязи 30.09.2011 "Оборудование связи"   
"Шкаф технологического коммутационного ус" "Шкаф коммуникационного сервера" 31.12.2012 "Оборудование СДТУ"   
"Шкаф технологического коммутационного ус" "Шкаф коммуникационного сервера" 31.12.2012 "Оборудование СДТУ"   
"Шкаф технологического коммутационного ус" "Шкаф коммуникационного сервера" 31.12.2012 "Оборудование СДТУ"   
"Шкаф технологического коммутационного ус" "Шкаф коммуникационного сервера" 31.12.2012 "Оборудование СДТУ"   
"Шкаф технологического коммутационного ус" "Шкаф коммуникационного сервера" 31.12.2012 "Оборудование СДТУ"   
"Шкаф технологического коммутационного ус" "Шкаф коммуникационного сервера" 31.12.2012 "Оборудование СДТУ"   
"Шкаф технологического коммутационного ус" "Шкаф коммуникационного сервера" 31.12.2012 "Оборудование СДТУ"   
"Маршрутизатор CISCO 4431 ISR4431/K9 V05" Маршрутизатор 31.12.2019 "Оборудование связи"   
"Маршрутизатор CISCO 4431 ISR4431/K9 V05" Маршрутизатор 31.12.2019 "Оборудование связи"   
"Маршрутизатор Juniper MX480" Маршрутизатор 01.11.2018 "Оборудование связи"   
"Маршрутизатор Huawei NE20E-S2F (в состав" Маршрутизатор 30.11.2018 "Оборудование связи"   
