"25.    ДАННЫЕ ОБ ИСПЫТАНИЯХ"     

"Диспетчерское наименование" Дата "Номер заказа АСУ ТОиР" "Вид измерения, испытания" Результат "№ протокола"
АТ-2 24.04.2017 P02910164912 "ФИЗИКО-ХИМИЧЕСКОГО АНАЛИЗА ТРАНСФОРМАТОРНОГО МАСЛА"  0291-17/ФХАМ/000107
Т-1 09.07.2015 P02910164915 "ФИЗИКО-ХИМИЧЕСКОГО АНАЛИЗА ТРАНСФОРМАТОРНОГО МАСЛА"  0291-15/ФХАМ/000108
АТ-2 18.12.2017 P02910182329 "ФИЗИКО-ХИМИЧЕСКОГО АНАЛИЗА ТРАНСФОРМАТОРНОГО МАСЛА"  0291-17/ФХАМ/000205
Т-1 18.09.2017 P02910182136 "ФИЗИКО-ХИМИЧЕСКОГО АНАЛИЗА ТРАНСФОРМАТОРНОГО МАСЛА"  0291-17/ФХАМ/000259
Т-2 22.05.2017 P02910182251 "ФИЗИКО-ХИМИЧЕСКОГО АНАЛИЗА ТРАНСФОРМАТОРНОГО МАСЛА"  0291-17/ФХАМ/000288
АТ-1 29.03.2019 P02910181353 "ХРОМАТОГРАФИЧЕСКИЙ АНАЛИЗ ГАЗОВ, РАСТВОРЕННЫХ В ТРАНСФОРМАТОРНОМ МАСЛЕ"  0291-19/ХАРГ_Т/000382
Т-1 30.05.2017 P02910164915 "ИСПЫТАНИЙ СИЛОВОГО ТРЁХОБМОТОЧНОГО ОДНОФАЗНОГО АВТОТРАНСФОРМАТОРА"  0291-17/Т_АТ/000052
Т-1 30.05.2017 P02910164915 "ХРОМАТОГРАФИЧЕСКИЙ АНАЛИЗ ГАЗОВ, РАСТВОРЕННЫХ В ТРАНСФОРМАТОРНОМ МАСЛЕ"  0291-17/ХАРГ/000077
АТ-2 21.08.2019 P02910182329 "ХРОМАТОГРАФИЧЕСКОГО АНАЛИЗА ГАЗОВ, РАСТВОРЕННЫХ В ТРАНСФОРМАТОРНОМ МАСЛЕ ИЗМЕРИТЕЛЬНОГО ТРАНСФОРМАТОРА"  0291-19/АРГ_ТИ/002507
