"33. СРЕДСТВА ДИСПЕТЧЕРСКОГО, ТЕХНОЛОГИЧЕСКОГО УПРАВЛЕНИЯ И СВЯЗИ"      

"Наименование оборудования" Тип "Дата ввода в эксплуатацию" "Место расположения" "Фактическая дата проведения ТО" "Дата проведения следующего ТО" "Дата и номер 
Акта ТО"
"Телефонный аппарат программируемый Sieme" "Телефонный аппарат" 01.01.1900 "Оборудование связи"   
"Телефонный аппарат программируемый Sieme" "Телефонный аппарат" 01.01.1900 "Оборудование связи"   
"Телефонный аппарат программируемый Sieme" "Телефонный аппарат" 01.01.1900 "Оборудование связи"   
"Телефонный аппарат программируемый Sieme" "Телефонный аппарат" 01.01.1900 "Оборудование связи"   
"Телефонный аппарат программируемый Sieme" "Телефонный аппарат" 01.01.1900 "Оборудование связи"   
"Телефонный аппарат программируемый Sieme" "Телефонный аппарат" 01.01.1900 "Оборудование связи"   
"Телефонный аппарат программируемый Sieme" "Телефонный аппарат" 01.01.1900 "Оборудование связи"   
"Телефонный аппарат программируемый Sieme" "Телефонный аппарат" 01.01.1900 "Оборудование связи"   
"Телефонный аппарат программируемый Sieme" "Телефонный аппарат" 01.01.1900 "Оборудование связи"   
"Телефонный аппарат программируемый Sieme" "Телефонный аппарат" 01.01.1900 "Оборудование связи"   
"Телефонный аппарат программируемый Sieme" "Телефонный аппарат" 01.01.1900 "Оборудование связи"   
"Телефонный аппарат программируемый Sieme" "Телефонный аппарат" 01.01.1900 "Оборудование связи"   
"Телефонный аппарат программируемый Sieme" "Телефонный аппарат" 01.01.1900 "Оборудование связи"   
"Телефонный аппарат программируемый Sieme" "Телефонный аппарат" 01.01.1900 "Оборудование связи"   
"Телефонный аппарат программируемый Sieme" "Телефонный аппарат" 01.01.1900 "Оборудование связи"   
"Телефонный аппарат программируемый Sieme" "Телефонный аппарат" 01.01.1900 "Оборудование связи"   
"Телефонный аппарат программируемый Sieme" "Телефонный аппарат" 01.01.1900 "Оборудование связи"   
"Телефонный аппарат программируемый Sieme" "Телефонный аппарат" 01.01.1900 "Оборудование связи"   
"Телефонный аппарат программируемый Sieme" "Телефонный аппарат" 01.01.1900 "Оборудование связи"   
"Телефонный аппарат программируемый Sieme" "Телефонный аппарат" 01.01.1900 "Оборудование связи"   
"Телефонный аппарат программируемый Sieme" "Телефонный аппарат" 01.01.1900 "Оборудование связи"   
"Телефонный аппарат программируемый Sieme" "Телефонный аппарат" 01.01.1900 "Оборудование связи"   
"Шкаф связи №1 ШКО-Н-16" ПанелЩитШкафСвяз 01.01.1900 "Оборудование связи"   
"Шкаф связи №2 ШКО-Н-16" ПанелЩитШкафСвяз 01.01.1900 "Оборудование связи"   
"Шкаф связи №3 ШКО-Н-16" ПанелЩитШкафСвяз 01.01.1900 "Оборудование связи"   
"Шкаф связи №4 ШКО-Н-16" ПанелЩитШкафСвяз 01.01.1900 "Оборудование связи"   
"Шкаф управления выключателем В521 1Р9" ПанельОперУправ 01.01.2008 "Оборудование СДТУ"   
"Шкаф управления выключателем В522 1Р11" ПанельОперУправ 01.01.2008 "Оборудование СДТУ"   
"Шкаф управления выключателем В520 1Р10" ПанельОперУправ 01.01.2008 "Оборудование СДТУ"   
"Шкаф управления выключателем В511 1Р4" ПанельОперУправ 01.01.2008 "Оборудование СДТУ"   
"Шкаф управления выключателем В510 1Р5" ПанельОперУправ 01.01.2008 "Оборудование СДТУ"   
"Шкаф управления выключателем В512 1Р6" ПанельОперУправ 01.01.2008 "Оборудование СДТУ"   
"Шкаф управления выключателем В2104 9Р13" ПанельОперУправ 01.01.2008 "Оборудование СДТУ"   
"Шкаф управления выключателем В2100 9Р12" ПанельОперУправ 01.01.2008 "Оборудование СДТУ"   
"Шкаф управления выключателей 220кВ АТ-1(" ПанельОперУправ 01.01.2008 "Оборудование СДТУ"   
"Шкаф управления выключателем В293 9Р8" ПанельОперУправ 01.01.2008 "Оборудование СДТУ"   
"Шкаф управления выключателем В284 9Р4" ПанельОперУправ 01.01.2008 "Оборудование СДТУ"   
"Шкаф управления выключателем В280 9Р3" ПанельОперУправ 01.01.2008 "Оборудование СДТУ"   
"Шкаф управления выключателем В283 9Р2" ПанельОперУправ 01.01.2008 "Оборудование СДТУ"   
"Шкаф управления выключателем В274 8Р9" ПанельОперУправ 01.01.2008 "Оборудование СДТУ"   
"Шкаф управления выключателем В270 8Р8" ПанельОперУправ 01.01.2008 "Оборудование СДТУ"   
"Шкаф управления выключателем В273 8Р7" ПанельОперУправ 01.01.2008 "Оборудование СДТУ"   
"Шкаф управления выключателем В252 8Р4" ПанельОперУправ 01.01.2008 "Оборудование СДТУ"   
"Шкаф управления выключателем В250 8Р3" ПанельОперУправ 01.01.2008 "Оборудование СДТУ"   
"Шкаф управления выключателем В251 8Р2" ПанельОперУправ 01.01.2008 "Оборудование СДТУ"   
"Шкаф управления выключателем В242 7Р10" ПанельОперУправ 01.01.2008 "Оборудование СДТУ"   
"Шкаф управления выключателем В240 7Р9" ПанельОперУправ 01.01.2008 "Оборудование СДТУ"   
"Шкаф управления выключателем В241 7Р8" ПанельОперУправ 01.01.2008 "Оборудование СДТУ"   
"Шкаф управления выключателем В232 7Р4" ПанельОперУправ 01.01.2008 "Оборудование СДТУ"   
"Шкаф управления выключателем В231 7Р3" ПанельОперУправ 01.01.2008 "Оборудование СДТУ"   
"Шкаф управления выключателем В221 6Р12" ПанельОперУправ 01.01.2008 "Оборудование СДТУ"   
"Шкаф управления выключателем В220 6Р131Р" ПанельОперУправ 01.01.2008 "Оборудование СДТУ"   
"Шкаф контроллера АТ-1(АТ-2) 2Р7" "Контроллер промышленных сетей" 01.01.1900 "Оборудование связи"   
"Шкаф контроллера АТ-1(АТ-2) 2Р13" "Контроллер промышленных сетей" 01.01.1900 "Оборудование связи"   
"Шкаф управления выключателем СВ 1-3сек." ПанельОперУправ 01.01.2008 "Оборудование СДТУ"   
"Шкаф управления выключателем СВ 2-4сек." ПанельОперУправ 01.01.2008 "Оборудование СДТУ"   
"Панель управления СР 24/20 КВЛ-220 кВ За" ПанельОперУправ 01.01.1900 "Оборудование СДТУ"   
"Панель управления СР 24/20 КВЛ-220 кВ За" ПанельОперУправ 01.01.1900 "Оборудование СДТУ"   
"Панель управления СР 24/20 КВЛ-220 кВ За" ПанельОперУправ 01.01.1900 "Оборудование СДТУ"   
"Панель управления СР 24/20 КВЛ-220 кВ За" ПанельОперУправ 01.01.1900 "Оборудование СДТУ"   
"Шкаф контроллера ЗРУ-20(10)кВ №1" "Контроллер промышленных сетей" 01.01.1900 "Оборудование связи"   
"Шкаф контроллера ЗРУ-20(10)кВ №2" "Контроллер промышленных сетей" 01.01.1900 "Оборудование связи"   
"Шкаф контроллера ЗРУ-20(10)кВ №3" "Контроллер промышленных сетей" 01.01.1900 "Оборудование связи"   
"Шкаф контроллера ЗРУ-20(10)кВ №4" "Контроллер промышленных сетей" 01.01.1900 "Оборудование связи"   
"Шкаф контроллера ЗРУ-20(10)кВ №5" "Контроллер промышленных сетей" 01.01.1900 "Оборудование связи"   
"Шкаф контроллера ЗРУ-20(10)кВ №6" "Контроллер промышленных сетей" 01.01.1900 "Оборудование связи"   
"Шкаф серверов основного и резервного 12Р" "Шкаф серверный информационной системы" 01.01.1900 "Оборудование связи"   
"Сервер 13Р1" Сервер 01.01.1900 "Оборудование связи"   
"Шкаф телекоммуникационный RAL7035 E42G К" "Шкаф коммуникационного сервера" 01.01.1900 "Оборудование СДТУ"   
"Шкаф телекоммуникационный RAL7035 E42G К" "Шкаф коммуникационного сервера" 01.01.1900 "Оборудование СДТУ"   
"Шкаф телекоммуникационный RAL7035 E42G К" "Шкаф коммуникационного сервера" 01.01.1900 "Оборудование СДТУ"   
"Шкаф телекоммуникационный RAL7035 E42G К" "Шкаф коммуникационного сервера" 01.01.1900 "Оборудование СДТУ"   
"Приемник сигналов GPS 164" Преобразователь 01.01.1900 "Оборудование СДТУ"   
"Система громкоговорящей связи УПАТС HiPa" ОборудГромкСвязи 01.01.1900 "Оборудование связи"   
"Автоматическая телефонная станция (АТС)" АТС 01.01.1900 "Оборудование связи"   
"Шкаф контроллера интеграции с АТ, Т и си" "Контроллер промышленных сетей" 01.01.1900 "Оборудование связи"   
"Шкаф контроллера интеграции с ЩПТ (ЩСН)" "Контроллер промышленных сетей" 01.01.1900 "Оборудование связи"   
"Шкаф контроллера интеграции с ЩПТ(ЩСН) 1" "Контроллер промышленных сетей" 01.01.1900 "Оборудование связи"   
"Шкаф контроллера интеграции с ППКЭ и АИИ" "Контроллер промышленных сетей" 01.01.1900 "Оборудование связи"   
"Шкаф контроллера интеграции с ЕТL и FOX" "Контроллер промышленных сетей" 01.01.1900 "Оборудование связи"   
"Шкаф контроллера интеграции с ПА 12Р9" "Контроллер промышленных сетей" 01.01.1900 "Оборудование связи"   
"Шкаф промклеемников 1Р2" КонтрИзмерОборуд 01.01.1900 "Оборудование связи"   
"Шкаф промклеемников 1Р2" КонтрИзмерОборуд 01.01.1900 "Оборудование связи"   
"Шкаф промклеемников 1Р2" КонтрИзмерОборуд 01.01.1900 "Оборудование связи"   
"Шкаф контроллеров для интеграции 12Р8" "Контроллер промышленных сетей" 01.01.1900 "Оборудование связи"   
"Шкаф шлюзов для связи с удаленными центр" ПанелЩитШкафСвяз 01.01.1900 "Оборудование связи"   
"Шкаф шлюзов интеграции с РАС 12Р4" ПанелЩитШкафСвяз 01.01.1900 "Оборудование связи"   
"Шкаф измерительных модулей регистратора" ПанелЩитШкафСвяз 01.01.1900 "Оборудование связи"   
"Двухканальный терминал высокочастотной (" "Абонентский терминал" 01.01.1900 "Оборудование связи"   
"Двухканальный терминал высокочастотной (" "Абонентский терминал" 01.01.1900 "Оборудование связи"   
"Двухканальный терминал высокочастотной (" "Абонентский терминал" 01.01.1900 "Оборудование связи"   
"Двухканальный терминал высокочастотной (" "Абонентский терминал" 01.01.1900 "Оборудование связи"   
"Терминал для тестирования и обслуживания" "Абонентский терминал" 01.01.1900 "Оборудование связи"   
"Кросс KRONE IP 30 DIN 40050." "KRONE IP 30 DIN 40050" 01.01.1900 "Оборудование связи"   
"Диспетчерский пульт на 2 рабочих места T" "Диспетчерский коммутатор" 01.01.1900 "Оборудование связи"   
