СОДЕРЖАНИЕ                             

"№
п/п"  Наименование                        стр.   
1  "Сводный перечень установленного оборудования"                        4   
2.1  "Индекс технического состояния"                        6   
2.2  Дефекты                        33   
3  "Схема электрических соединений подстанции"                        35   
4  "Схема установки блокировочных устройств"                        36   
5  "Схема питания собственных нужд и оперативных сетей"                        37   
6.1  Автотрансформаторы                        38   
6.2  "Трехобмоточные трансформаторы"                        57   
6.3  "Двухобмоточные трансформаторы (в т.ч. с расщ.обмот. и ТСН)"                        58   
6.4  "Линейные регулировочные / вольтодобавочные трансформаторы"                        74   
6.5  РПН/ПБВ                        75   
7.1  "Шунтирующие реакторы (трех и однофазные)"                        90   
7.2  "Управляемые шунтирующие реакторы"                        97   
7.3  "Токоограничивающие реакторы"                        98   
7.4  "Реакторы заземляющие, компенсационные"                        118   
8.1  "Синхронные компенсаторы"                        119   
8.2  "Батареи статических конденсаторов"                        120   
8.3  "Статические тиристорные компенсаторы"                        121   
9  Выключатели                        122   
10  "Разъединители, отделители, короткозамыкатели"                        138   
11  "Разрядники, ОПН"                        157   
12  Предохранители                        169   
13  "Секции шин"                        172   
14  "Масляное хозяйство"                        173   
15.1  "Комплектные распределительные устройства"                        174   
15.2  "Ячейка КРУН"                        175   
15.3  "Ячейка КРУЭ"                        176   
16  "Аккумуляторные батареи"                        177   
17  "Выпрямительные устройства, инверторы"                        178   
18  "Трансформаторы напряжения"                        179   
19  "Конденсатор связи"                        184   
20  "Трансформаторы тока"                        185   
21  ВЧ-заградитель                        202   
22  "Фильтр присоединения (ШОН)"                        204   
23  "Вводы 110 кВ и выше трансформаторов и выключателей"                        205   
24  "Подвесная и опорная изоляция"                        213   
25  "Данные об испытаниях"                        214   
26  "Релейная защита"                        297   
27  "Сетевая автоматика"                        313   
28  "Противоаварийная автоматика"                        314   
29  "Режимная автоматика"                        315   
30  "Регистрация аварийных событий и процессов"                        316   
31  "Технологическая автоматика"                        317   
32  "АСУ ТП (ССПИ)"                        318   
33  "Средства диспетчерского, технологического управления и связи"                        319   
34  "Пожарно-охранная сигнализация"                        321   
35.1  "Общие сведения о ЗУ"                        322   
35.2  "Схема заземления и молниезащиты"                        323   
35.3  "Результаты проверки ЗУ"                        324   
35.4  "Результаты проверки связей обор. энергообъекта с иск.зазем."                        325   
35.5  "Результаты контрольных измер. U прикосн. на энергообъекте"                        326   
36  Освещение                        327   
39  "Производственные здания ПС"                        328   
40  "Компрессорное хозяйство"                        329   
41  "Сосуды (баллоны), работающие под давлением"                        330   
