"10. РАЗЪЕДИНИТЕЛИ, ОТДЕЛИТЕЛИ, КОРОТКОЗАМЫКАТЕЛИ"                   

"Напряжение, кВ" "Диспетчерское
наименование" "Тип разъединителя" "Вид (трехфазный, однофазный )" "Номинальный 
ток, А" "Инвентарный номер" "Заводской номер" Завод-изготовитель "Дата изготовления" "Дата ввода в эксплуатацию" "Тип привода" "Заводской номер привода" Ремонт   "Фактическая дата проведения ТО" "Дата проведения следующего ТО" "Дата и номер 
Акта ТО" "Дата расчета ИТС" ИТС
            Вид Дата "Номер заказа АСУ ТОиР"     
 "ЛР В 2342 ф.А" ELK-EB3   0209-2-14-43517 2162908 ABB 2007 01.01.2009          
 "ЛР В 2342 ф.С" ELK-EB3   0209-2-14-43517 2162910 ABB 2007 01.01.2009          
 "ЛР В 2342 ф.В" ELK-EB3   0209-2-14-43517 2162909 ABB 2007 01.01.2009          
 "ШР В 2342 ф.В" ELK-EB3   0209-2-14-43517 2162959 ABB 2007 01.01.2009          
 "ШР В 2342 ф.А" ELK-EB3   0209-2-14-43517 2162958 ABB 2007 01.01.2009          
 "ШР В 2342 ф.С" ELK-EB3   0209-2-14-43517 2162960 ABB 2007 01.01.2009          
 "ТР В 2334 ф.А" ELK-EB3   0209-2-14-43516 2163095 ABB 2007 01.01.2008          
 "ТР В 2334 ф.С" ELK-EB3   0209-2-14-43516 2163097 ABB 2007 01.01.2008          
 "ТР В 2334 ф.В" ELK-EB3   0209-2-14-43516 2163096 ABB 2007 01.01.2008          
 "ШР В 2334 ф.В" ELK-EB3   0209-2-14-43516 2163105 ABB 2007 01.01.2008          
 "ШР В 2334 ф.А" ELK-EB3   0209-2-14-43516 2163104 ABB 2007 01.01.2008          
 "ШР В 2334 ф.С" ELK-EB3   0209-2-14-43516 2163106 ABB 2007 01.01.2008          
 "ТР В 2332 ф.В" ELK-EB3   0209-2-14-43515 2162936 ABB 2007 01.01.2008          
 "ТР В 2332 ф.С" ELK-EB3   0209-2-14-43515 2162937 ABB 2007 01.01.2008          
 "ТР В 2332 ф.А" ELK-EB3   0209-2-14-43515 2162935 ABB 2007 01.01.2008          
 "ШР В 2332 ф.В" ELK-EB3   0209-2-14-43515 2162906 ABB 2007 01.01.2008          
 "ШР В 2332 ф.С" ELK-EB3   0209-2-14-43515 2162907 ABB 2007 01.01.2008          
 "ШР В 2332 ф.А" ELK-EB3   0209-2-14-43515 2162905 ABB 2007 01.01.2008          
 "ЛР В 2324 ф.В" ELK-EB3   0209-2-14-43514 2163087 ABB 2007 01.01.2013          
 "ЛР В 2324 ф.С" ELK-EB3   0209-2-14-43514 2163088 ABB 2007 01.01.2013          
 "ЛР В 2324 ф.А" ELK-EB3   0209-2-14-43514 2163086 ABB 2007 01.01.2013          
 "ШР В 2324 ф.В" ELK-EB3   0209-2-14-43514 2163081 ABB 2007 01.01.2013          
 "ШР В 2324 ф.С" ELK-EB3   0209-2-14-43514 2163082 ABB 2007 01.01.2013          
 "ШР В 2324 ф.А" ELK-EB3   0209-2-14-43514 2163080 ABB 2007 01.01.2013          
 "ЛР В 2312 ф.А" ELK-EB3   0209-2-14-43513 2162961 ABB 2007 01.01.2010          
 "ЛР В 2312 ф.С" ELK-EB3   0209-2-14-43513 2162963 ABB 2007 01.01.2010          
 "ЛР В 2312 ф.В" ELK-EB3   0209-2-14-43513 2162962 ABB 2007 01.01.2010          
 "ШР В 2312 ф.А" ELK-EB3   0209-2-14-43513 2162955 ABB 2007 01.01.2010          
 "ШР В 2312 ф.С" ELK-EB3   0209-2-14-43513 2162957 ABB 2007 01.01.2010          
 "ШР В 2312 ф.В" ELK-EB3   0209-2-14-43513 2162956 ABB 2007 01.01.2010          
 "ЛР В 2304 ф.А" ELK-EB3   0209-2-14-43512 2163071 ABB 2007 01.01.2008          
 "ЛР В 2304 ф.С" ELK-EB3   0209-2-14-43512 2163073 ABB 2007 01.01.2008          
 "ЛР В 2304 ф.В" ELK-EB3   0209-2-14-43512 2163072 ABB 2007 01.01.2009          
 "ШР В 2304 ф.А" ELK-EB3   0209-2-14-43512 2163101 ABB 2007 01.01.2008          
 "ШР В 2304 ф.С" ELK-EB3   0209-2-14-43512 2163103 ABB 2007 01.01.2008          
 "ШР В 2304 ф.В" ELK-EB3   0209-2-14-43512 2163102 ABB 2007 01.01.2008          
 "ТР В 2292 ф.В" ELK-EB3   0209-2-14-43511 2162933 ABB 2007 01.01.2008          
 "ТР В 2292 ф.С" ELK-EB3   0209-2-14-43511 2162934 ABB 2007 01.01.2008          
 "ТР В 2292 ф.А" ELK-EB3   0209-2-14-43511 2162932 ABB 2007 01.01.2008          
 "ШР В 2292 ф.В" ELK-EB3   0209-2-14-43511 2162954 ABB 2007 01.01.2008          
 "ШР В 2292 ф.С" ELK-EB3   0209-2-14-43511 2162955 ABB 2007 01.01.2008          
 "ШР В 2292 ф.А" ELK-EB3   0209-2-14-43511 2162953 ABB 2007 01.01.2008          
 "ТР В 2284 ф.В" ELK-EB3   0209-2-14-43510 2163093 ABB 2007 01.01.2008          
 "ТР В 2284 ф.С" ELK-EB3   0209-2-14-43510 2163094 ABB 2007 01.01.2008          
 "ТР В 2284 ф.А" ELK-EB3   0209-2-14-43510 2163092 ABB 2007 01.01.2008          
 "ШР В 2284 ф.В" ELK-EB3   0209-2-14-43510 2163051 ABB 2007 01.01.2008          
 "ШР В 2284 ф.С" ELK-EB3   0209-2-14-43510 2163052 ABB 2007 01.01.2008          
 "ШР В 2284 ф.А" ELK-EB3   0209-2-14-43510 2163050 ABB 2007 01.01.2008          
 "ЛР В 2272 ф.А" ELK-EB3   0209-2-14-43509 2162898 ABB 2007 01.01.2008          
 "ЛР В 2272 ф.С" ELK-EB3   0209-2-14-43509 2162901 ABB 2007 01.01.2008          
 "ЛР В 2272 ф.В" ELK-EB3   0209-2-14-43509 2162899 ABB 2007 01.01.2009          
 "ШР В 2272 ф.А" ELK-EB3   0209-2-14-43509 2162950 ABB 2007 01.01.2008          
 "ШР В 2272 ф.С" ELK-EB3   0209-2-14-43509 2162952 ABB 2007 01.01.2008          
 "ШР В 2272 ф.В" ELK-EB3   0209-2-14-43509 2162951 ABB 2007 01.01.2008          
 "ЛР В 2264 ф.А" ELK-EB3   0209-2-14-43508 2163083 ABB 2007 01.01.2009          
 "ЛР В 2264 ф.С" ELK-EB3   0209-2-14-43508 2163085 ABB 2007 01.01.2009          
 "ЛР В 2264 ф.В" ELK-EB3   0209-2-14-43508 2163084 ABB 2007 01.01.2009          
 "ШР В 2264 ф.А" ELK-EB3   0209-2-14-43508 2163062 ABB 2007 01.01.2009          
 "ШР В 2264 ф.С" ELK-EB3   0209-2-14-43508 2163064 ABB 2007 01.01.2009          
 "ШР В 2264 ф.В" ELK-EB3   0209-2-14-43508 2163063 ABB 2007 01.01.2009          
 "ЛР В 2262 ф.А" ELK-EB3   0209-2-14-43507 2162929 ABB 2007 01.01.2009          
 "ЛР В 2262 ф.С" ELK-EB3   0209-2-14-43507 2162931 ABB 2007 01.01.2009          
 "ЛР В 2262 ф.В" ELK-EB3   0209-2-14-43507 2162930 ABB 2007 01.01.2009          
 "ШР В 2262 ф.А" ELK-EB3   0209-2-14-43507 2162944 ABB 2007 01.01.2009          
 "ШР В 2262 ф.С" ELK-EB3   0209-2-14-43507 2162946 ABB 2007 01.01.2009          
 "ШР В 2262 ф.В" ELK-EB3   0209-2-14-43507 2162945 ABB 2007 01.01.2009          
 "ТР В 2254 ф.В" ELK-EB3   0209-2-14-43506 2163048 ABB 2007 01.01.2008          
 "ТР В 2254 ф.С" ELK-EB3   0209-2-14-43506 2163049 ABB 2007 01.01.2008          
 "ТР В 2254 ф.А" ELK-EB3   0209-2-14-43506 2163047 ABB 2007 01.01.2008          
 "ШР В 2254 ф.С" ELK-EB3   0209-2-14-43506 2163058 ABB 2007 01.01.2008          
 "ШР В 2254 ф.А" ELK-EB3   0209-2-14-43506 2163056 ABB 2007 01.01.2008          
