"25.    ДАННЫЕ ОБ ИСПЫТАНИЯХ"     

"Диспетчерское наименование" Дата "Номер заказа АСУ ТОиР" "Вид измерения, испытания" Результат "№ протокола"
Т-8 25.04.2019 P02910211662 "ФИЗИКО-ХИМИЧЕСКОГО АНАЛИЗА ТРАНСФОРМАТОРНОГО МАСЛА"  0221-19/ФХА_МЭ/000673
Т-13 31.03.2016 P02910181421 "ФИЗИКО-ХИМИЧЕСКОГО АНАЛИЗА ТРАНСФОРМАТОРНОГО МАСЛА"  0291-16/ФХАМ/000001
АТ-7 12.04.2018 P02910182390 "ФИЗИКО-ХИМИЧЕСКОГО АНАЛИЗА ТРАНСФОРМАТОРНОГО МАСЛА"  0291-18/ФХАМ/000048
АТ-6 12.04.2018 P02910182470 "ФИЗИКО-ХИМИЧЕСКОГО АНАЛИЗА ТРАНСФОРМАТОРНОГО МАСЛА"  0291-18/ФХАМ/000088
АТ-11 20.04.2017 P02910164919 "ФИЗИКО-ХИМИЧЕСКОГО АНАЛИЗА ТРАНСФОРМАТОРНОГО МАСЛА"  0291-17/ФХАМ/000112
АТ-6 03.04.2017 P02910164701 "ФИЗИКО-ХИМИЧЕСКОГО АНАЛИЗА ТРАНСФОРМАТОРНОГО МАСЛА"  0291-17/ФХАМ/000113
Т-12 17.04.2017 P02910182636 "ФИЗИКО-ХИМИЧЕСКОГО АНАЛИЗА ТРАНСФОРМАТОРНОГО МАСЛА"  0291-17/ФХАМ/000203
Т-9 19.04.2017 P02910181355 "ФИЗИКО-ХИМИЧЕСКОГО АНАЛИЗА ТРАНСФОРМАТОРНОГО МАСЛА"  0291-17/ФХАМ/000206
АТ-3 03.04.2017 P02910181364 "ФИЗИКО-ХИМИЧЕСКОГО АНАЛИЗА ТРАНСФОРМАТОРНОГО МАСЛА"  0291-17/ФХАМ/000214
АТ-5 03.04.2017 P02910181365 "ФИЗИКО-ХИМИЧЕСКОГО АНАЛИЗА ТРАНСФОРМАТОРНОГО МАСЛА"  0291-17/ФХАМ/000215
