"33. СРЕДСТВА ДИСПЕТЧЕРСКОГО, ТЕХНОЛОГИЧЕСКОГО УПРАВЛЕНИЯ И СВЯЗИ"      

"Наименование оборудования" Тип "Дата ввода в эксплуатацию" "Место расположения" "Фактическая дата проведения ТО" "Дата проведения следующего ТО" "Дата и номер 
Акта ТО"
"Универсальное телеметрическое устройство" "Устройство телемеханики" 01.01.1900 "Оборудование СДТУ"   
"Шкаф ШРНЗ-2" "Шкаф распределительный" 01.01.1900 "Оборудование СДТУ"   
"Система коллективного отображения информ" "Система коллективного отображения видео" 01.01.1900 "Оборудование СДТУ"   
"Мультиплексор Т-130,2U 48/46V" Мультиплексор 01.01.1900 "Оборудование связи"   
"Мультиплексор Т-130(4Е1)/FC/13LH" Мультиплексор 01.01.1900 "Оборудование связи"   
"Мультиплексор Т-130(4Е1)/FC/13LH" Мультиплексор 01.01.1900 "Оборудование связи"   
"Сотовый телефон Nokia 1209 Blue" ОборудСотовСвязи 01.01.1900 "Оборудование связи"   
"Сотовый телефон Nokia 1209 Grey" ОборудСотовСвязи 01.01.1900 "Оборудование связи"   
"Трансивер EXCOUNT W1C КВЛ Западная" "Оборудование радиосвязи" 26.09.2012 "Оборудование связи"   
"Каналообразующее оборудование ВЧ связи ш" "Аппаратура ВЧ связи" 26.09.2012 "Оборудование связи"   
"Шкаф технологического коммутационного ус" "Шкаф коммуникационного сервера" 31.12.2012 "Оборудование СДТУ"   
"HAW-CR2P2FBASD10_K1 / Маршрутизатор NE20" Маршрутизатор 09.06.2017 "Оборудование связи"   
"HAW-CR5P03BASD73_K1 / Маршрутизатор NE40" Маршрутизатор 01.11.2018 "Оборудование связи"   
"Мультиплексор Т-130(4Е1)/FC/13LH" Мультиплексор 01.01.2022 "Оборудование связи"   
