СОДЕРЖАНИЕ                             

"№
п/п"  Наименование                        стр.   
1  "Сводный перечень установленного оборудования"                        4   
2.1  "Индекс технического состояния"                        7   
2.2  Дефекты                        19   
3  "Схема электрических соединений подстанции"                        32   
4  "Схема установки блокировочных устройств"                        33   
5  "Схема питания собственных нужд и оперативных сетей"                        34   
6.1  Автотрансформаторы                        35   
6.2  "Трехобмоточные трансформаторы"                        52   
6.3  "Двухобмоточные трансформаторы (в т.ч. с расщ.обмот. и ТСН)"                        54   
6.4  "Линейные регулировочные / вольтодобавочные трансформаторы"                        72   
6.5  РПН/ПБВ                        73   
7.1  "Шунтирующие реакторы (трех и однофазные)"                        84   
7.2  "Управляемые шунтирующие реакторы"                        85   
7.3  "Токоограничивающие реакторы"                        86   
7.4  "Реакторы заземляющие, компенсационные"                        91   
8.1  "Синхронные компенсаторы"                        93   
8.2  "Батареи статических конденсаторов"                        94   
8.3  "Статические тиристорные компенсаторы"                        95   
9  Выключатели                        96   
10  "Разъединители, отделители, короткозамыкатели"                        102   
11  "Разрядники, ОПН"                        111   
12  Предохранители                        115   
13  "Секции шин"                        117   
14  "Масляное хозяйство"                        118   
15.1  "Комплектные распределительные устройства"                        119   
15.2  "Ячейка КРУН"                        120   
15.3  "Ячейка КРУЭ"                        122   
16  "Аккумуляторные батареи"                        123   
17  "Выпрямительные устройства, инверторы"                        124   
18  "Трансформаторы напряжения"                        125   
19  "Конденсатор связи"                        128   
20  "Трансформаторы тока"                        129   
21  ВЧ-заградитель                        144   
22  "Фильтр присоединения (ШОН)"                        146   
23  "Вводы 110 кВ и выше трансформаторов и выключателей"                        149   
24  "Подвесная и опорная изоляция"                        153   
25  "Данные об испытаниях"                        154   
26  "Релейная защита"                        232   
27  "Сетевая автоматика"                        234   
28  "Противоаварийная автоматика"                        235   
29  "Режимная автоматика"                        236   
30  "Регистрация аварийных событий и процессов"                        237   
31  "Технологическая автоматика"                        238   
32  "АСУ ТП (ССПИ)"                        239   
33  "Средства диспетчерского, технологического управления и связи"                        240   
34  "Пожарно-охранная сигнализация"                        245   
35.1  "Общие сведения о ЗУ"                        246   
35.2  "Схема заземления и молниезащиты"                        247   
35.3  "Результаты проверки ЗУ"                        248   
35.4  "Результаты проверки связей обор. энергообъекта с иск.зазем."                        249   
35.5  "Результаты контрольных измер. U прикосн. на энергообъекте"                        250   
36  Освещение                        251   
39  "Производственные здания ПС"                        252   
40  "Компрессорное хозяйство"                        255   
41  "Сосуды (баллоны), работающие под давлением"                        256   
