"33. СРЕДСТВА ДИСПЕТЧЕРСКОГО, ТЕХНОЛОГИЧЕСКОГО УПРАВЛЕНИЯ И СВЯЗИ"      

"Наименование оборудования" Тип "Дата ввода в эксплуатацию" "Место расположения" "Фактическая дата проведения ТО" "Дата проведения следующего ТО" "Дата и номер 
Акта ТО"
"Система коллектив. отображения видиоинфо" "Система коллективного отображения видео" 01.01.1900 "Оборудование СДТУ asdf"   
"Генератор ГЗ-110" КонтрИзмерОборуд 01.01.1900 "Оборудование связи"   
"Шкаф управления c системой охлаждения тр" ПанельОперУправ 01.01.1900 "Оборудование СДТУ asdf"   
"Шкаф управления c системой охлаждения тр" ПанельОперУправ 01.01.1900 "Оборудование СДТУ asdf"   
"Трансивер EXCOUNT II (до 30 сенсеров на" "Аппаратура ВЧ связи" 01.01.1900 "Оборудование связи"   
"Трансивер EXCOUNT II (до 30 сенсеров на" "Аппаратура ВЧ связи" 01.01.1900 "Оборудование связи"   
"Трансивер EXCOUNT II (до 30 сенсеров на" "Аппаратура ВЧ связи" 01.01.1900 "Оборудование связи"   
"Трансивер EXCOUNT II (до 30 сенсеров на" "Аппаратура ВЧ связи" 01.01.1900 "Оборудование связи"   
"Трансивер EXCOUNT II (до 30 сенсеров на" "Аппаратура ВЧ связи" 01.01.1900 "Оборудование связи"   
"Трансивер EXCOUNT II (до 30 сенсеров на" "Аппаратура ВЧ связи" 01.01.1900 "Оборудование связи"   
"Шкаф управления выключателями 110 кВ АТ" ПанельОперУправ 01.01.1900 "Оборудование СДТУ asdf"   
"Шкаф управления выключателями 110 кВ АТ" ПанельОперУправ 01.01.1900 "Оборудование СДТУ asdf"   
"Шкаф  управления КРУ 10кВ" ПанельОперУправ 01.01.1900 "Оборудование СДТУ asdf"   
"Шкаф коммутации телевизионных камерных к" "Шкаф коммуникационного сервера" 01.01.1900 "Оборудование СДТУ asdf"   
"Шкаф коммутации телевизионных камерных к" "Шкаф коммуникационного сервера" 01.01.1900 "Оборудование СДТУ asdf"   
"Шкаф сетевых коммуникаций ШСК № 1" "Шкаф коммуникационного сервера" 01.01.1900 "Оборудование СДТУ asdf"   
"Шкаф сетевых коммуникаций ШСК № 2" "Шкаф коммуникационного сервера" 01.01.1900 "Оборудование СДТУ asdf"   
"Шкаф сетевых коммуникаций КРУ СКА № 1" "Шкаф коммуникационного сервера" 01.01.1900 "Оборудование СДТУ asdf"   
"Шкаф сетевых коммуникаций КРУ СКА № 2" "Шкаф коммуникационного сервера" 01.01.1900 "Оборудование СДТУ asdf"   
"Шкаф сетевых коммуникаций КРУ СКА № 3" "Шкаф коммуникационного сервера" 01.01.1900 "Оборудование СДТУ asdf"   
"Шкаф сетевых коммуникаций КРУ СКА № 4" "Шкаф коммуникационного сервера" 01.01.1900 "Оборудование СДТУ asdf"   
"Шкаф сетевых коммуникаций КРУ СКА № 5" "Шкаф коммуникационного сервера" 01.01.1900 "Оборудование СДТУ asdf"   
"Шкаф сетевых коммуникаций КРУ СКА № 6" "Шкаф коммуникационного сервера" 01.01.1900 "Оборудование СДТУ asdf"   
"Коммутациционный модуль ОРУ 110кВ в сост" "Другое коммутационное оборудование связ" 01.01.1900 "Оборудование связи"   
"Коммутациционный модуль ОРУ 110кВ в сост" "Другое коммутационное оборудование связ" 01.01.1900 "Оборудование связи"   
"Коммутациционный модуль ОРУ 110кВ в сос" "Другое коммутационное оборудование связ" 01.01.1900 "Оборудование связи"   
"Коммутациционный модуль ОРУ 110кВ в сост" "Другое коммутационное оборудование связ" 01.01.1900 "Оборудование связи"   
"Коммутациционный модуль ОРУ 110кВ в сос" "Другое коммутационное оборудование связ" 01.01.1900 "Оборудование связи"   
"Коммутациционный модуль ОРУ 110кВ в сос" "Другое коммутационное оборудование связ" 01.01.1900 "Оборудование связи"   
"Коммутациционный модуль ОРУ 110кВ в сост" "Другое коммутационное оборудование связ" 01.01.1900 "Оборудование связи"   
"Коммутациционный модуль ОРУ 110кВ в сост" "Другое коммутационное оборудование связ" 01.01.1900 "Оборудование связи"   
"Коммутациционный модуль ОРУ 110кВ в сост" "Другое коммутационное оборудование связ" 01.01.1900 "Оборудование связи"   
"Коммутациционный модуль ОРУ 110кВ в сост" "Другое коммутационное оборудование связ" 01.01.1900 "Оборудование связи"   
"Коммутациционный модуль ОРУ 110кВ в сос" "Другое коммутационное оборудование связ" 01.01.1900 "Оборудование связи"   
"Коммутациционный модуль ОРУ 110кВ в сос" "Другое коммутационное оборудование связ" 01.01.1900 "Оборудование связи"   
"Коммутациционный модуль ОРУ 110кВ в сос" "Другое коммутационное оборудование связ" 01.01.1900 "Оборудование связи"   
"Коммутациционный модуль ОРУ 110кВ в сос" "Другое коммутационное оборудование связ" 01.01.1900 "Оборудование связи"   
"Коммутациционный модуль ОРУ 110кВ в сос" "Другое коммутационное оборудование связ" 01.01.1900 "Оборудование связи"   
"Коммутациционный модуль ОРУ 110кВ в сос" "Другое коммутационное оборудование связ" 01.01.1900 "Оборудование связи"   
"Коммутациционный модуль ОРУ 110кВ в сос" "Другое коммутационное оборудование связ" 01.01.1900 "Оборудование связи"   
"Шкаф АСУ ТП RTU2 МС-230" "Шкаф серверный АСУ ТП" 01.01.1900 "Оборудование СДТУ asdf"   
"Шкаф серверный АСУ ТП БД (НР Proliant ML" "Шкаф серверный АСУ ТП" 01.01.1900 "Оборудование СДТУ asdf"   
"Шкаф оптический настенный с оборудование" ПанелЩитШкафСвяз 01.01.1900 "Оборудование связи"   
"Шкаф оптический настенный с оборудование" ПанелЩитШкафСвяз 01.01.1900 "Оборудование связи"   
"Шкаф оптический настенный с оборудование" ПанелЩитШкафСвяз 01.01.1900 "Оборудование связи"   
"Шкаф оптический настенный с оборудование" ПанелЩитШкафСвяз 01.01.1900 "Оборудование связи"   
"Шкаф телекоммуникационный RITTAL TS8 №2" КоммутацОборудСвязи 30.09.2011 "Оборудование связи"   
"Шкаф телекоммуникационный RITTAL TS8 №3" КоммутацОборудСвязи 30.09.2011 "Оборудование связи"   
"Автоматическая установка измерения диэле" ОборудТелСвязи 01.09.2011 "Оборудование связи"   
qwe Дизель-генератор 01.01.1971 "Оборудование СДТУ asdf"   
"Шкаф серверный АСУ ТП БД (НР Proliant ML" "Шкаф серверный АСУ ТП"  "Оборудование СДТУ asdf"   
