СОДЕРЖАНИЕ                             

"№
п/п"  Наименование                        стр.   
1  "Сводный перечень установленного оборудования"                        4   
2.1  "Индекс технического состояния"                        7   
2.2  Дефекты                        24   
3  "Схема электрических соединений подстанции"                        26   
4  "Схема установки блокировочных устройств"                        27   
5  "Схема питания собственных нужд и оперативных сетей"                        28   
6.1  Автотрансформаторы                        29   
6.2  "Трехобмоточные трансформаторы"                        46   
6.3  "Двухобмоточные трансформаторы (в т.ч. с расщ.обмот. и ТСН)"                        47   
6.4  "Линейные регулировочные / вольтодобавочные трансформаторы"                        59   
6.5  РПН/ПБВ                        60   
7.1  "Шунтирующие реакторы (трех и однофазные)"                        69   
7.2  "Управляемые шунтирующие реакторы"                        82   
7.3  "Токоограничивающие реакторы"                        83   
7.4  "Реакторы заземляющие, компенсационные"                        91   
8.1  "Синхронные компенсаторы"                        92   
8.2  "Батареи статических конденсаторов"                        93   
8.3  "Статические тиристорные компенсаторы"                        94   
9  Выключатели                        95   
10  "Разъединители, отделители, короткозамыкатели"                        104   
11  "Разрядники, ОПН"                        116   
12  Предохранители                        126   
13  "Секции шин"                        127   
14  "Масляное хозяйство"                        128   
15.1  "Комплектные распределительные устройства"                        129   
15.2  "Ячейка КРУН"                        130   
15.3  "Ячейка КРУЭ"                        131   
16  "Аккумуляторные батареи"                        132   
17  "Выпрямительные устройства, инверторы"                        133   
18  "Трансформаторы напряжения"                        134   
19  "Конденсатор связи"                        140   
20  "Трансформаторы тока"                        141   
21  ВЧ-заградитель                        152   
22  "Фильтр присоединения (ШОН)"                        154   
23  "Вводы 110 кВ и выше трансформаторов и выключателей"                        155   
24  "Подвесная и опорная изоляция"                        161   
25  "Данные об испытаниях"                        162   
26  "Релейная защита"                        262   
27  "Сетевая автоматика"                        263   
28  "Противоаварийная автоматика"                        264   
29  "Режимная автоматика"                        265   
30  "Регистрация аварийных событий и процессов"                        266   
31  "Технологическая автоматика"                        267   
32  "АСУ ТП (ССПИ)"                        268   
33  "Средства диспетчерского, технологического управления и связи"                        269   
34  "Пожарно-охранная сигнализация"                        285   
35.1  "Общие сведения о ЗУ"                        286   
35.2  "Схема заземления и молниезащиты"                        287   
35.3  "Результаты проверки ЗУ"                        288   
35.4  "Результаты проверки связей обор. энергообъекта с иск.зазем."                        289   
35.5  "Результаты контрольных измер. U прикосн. на энергообъекте"                        290   
36  Освещение                        291   
39  "Производственные здания ПС"                        292   
40  "Компрессорное хозяйство"                        295   
41  "Сосуды (баллоны), работающие под давлением"                        296   
