"25.    ДАННЫЕ ОБ ИСПЫТАНИЯХ"     

"Диспетчерское наименование" Дата "Номер заказа АСУ ТОиР" "Вид измерения, испытания" Результат "№ протокола"
"Р-1-750 ф.А" 26.09.2019 P03410128879 "ФИЗИКО-ХИМИЧЕСКОГО АНАЛИЗА ТРАНСФОРМАТОРНОГО МАСЛА"  0341-19/ФХА_МЭ/001527
"Р-1-750 ф.В" 26.09.2019 P03410128890 "ФИЗИКО-ХИМИЧЕСКОГО АНАЛИЗА ТРАНСФОРМАТОРНОГО МАСЛА"  0341-19/ФХА_МЭ/001528
"Р-1-750 ф.С" 26.09.2019 P03410128891 "ФИЗИКО-ХИМИЧЕСКОГО АНАЛИЗА ТРАНСФОРМАТОРНОГО МАСЛА"  0341-19/ФХА_МЭ/001529
"Р-2-750 ф.А" 26.09.2019 P03410127005 "ФИЗИКО-ХИМИЧЕСКОГО АНАЛИЗА ТРАНСФОРМАТОРНОГО МАСЛА"  0341-19/ФХА_МЭ/001530
"Р-2-750 ф.В" 26.09.2019 P03410127005 "ФИЗИКО-ХИМИЧЕСКОГО АНАЛИЗА ТРАНСФОРМАТОРНОГО МАСЛА"  0341-19/ФХА_МЭ/001531
"Р-2-750 ф.С" 26.09.2019 P03410127005 "ФИЗИКО-ХИМИЧЕСКОГО АНАЛИЗА ТРАНСФОРМАТОРНОГО МАСЛА"  0341-19/ФХА_МЭ/001532
"РПН АТ-5 ф.А в стор. СН" 12.04.2018 P03410128331 "ФИЗИКО-ХИМИЧЕСКОГО АНАЛИЗА ТРАНСФОРМАТОРНОГО МАСЛА"  0341-18/ФХАМ/000458
"РПН АТ-5 ф.В в стор. СН" 12.04.2018 P03410128331 "ФИЗИКО-ХИМИЧЕСКОГО АНАЛИЗА ТРАНСФОРМАТОРНОГО МАСЛА"  0341-18/ФХАМ/000459
"РПН АТ-5 ф.С в стор. СН" 12.04.2018 P03410128331 "ФИЗИКО-ХИМИЧЕСКОГО АНАЛИЗА ТРАНСФОРМАТОРНОГО МАСЛА"  0341-18/ФХАМ/000460
