"33. СРЕДСТВА ДИСПЕТЧЕРСКОГО, ТЕХНОЛОГИЧЕСКОГО УПРАВЛЕНИЯ И СВЯЗИ"      

"Наименование оборудования" Тип "Дата ввода в эксплуатацию" "Место расположения" "Фактическая дата проведения ТО" "Дата проведения следующего ТО" "Дата и номер 
Акта ТО"
"Аппаратура телемеханики" "Средства телемеханики" 01.10.2002 "Оборудование СДТУ"   
"Панель телемеханики и телеизмерения 330" "Средства телемеханики" 01.10.2002 "Оборудование СДТУ"   
"Аппаратура телемеханики" "Средства телемеханики" 01.10.2002 "Оборудование СДТУ"   
"Аппаратура телемеханики" "Средства телемеханики" 01.10.2002 "Оборудование СДТУ"   
"Панель телемеханики и телеизмерения 330" "Средства телемеханики" 01.10.2002 "Оборудование СДТУ"   
"Панель телемеханики и телеизмерения 330" "Средства телемеханики" 01.10.2002 "Оборудование СДТУ"   
"Панель телемеханики и телеизмерения 330" "Средства телемеханики" 01.10.2002 "Оборудование СДТУ"   
"Аппаратура телемеханики" "Средства телемеханики" 01.10.2002 "Оборудование СДТУ"   
"Аппаратура телемеханики" "Средства телемеханики" 01.10.2002 "Оборудование СДТУ"   
"Аппаратура телемеханики" "Средства телемеханики" 01.10.2002 "Оборудование СДТУ"   
"Вспомогательный пульт управления" "Средства телемеханики" 01.10.2002 "Оборудование СДТУ"   
"Главный пульт управления (4панели)" "Средства телемеханики" 01.10.2002 "Оборудование СДТУ"   
"Аппаратура  АВПА (приемник)" ПанелЩитШкафСвяз 01.10.2002 "Оборудование связи"   
"Аппаратура  АВПА (передатчик)" ПанелЩитШкафСвяз 01.10.2002 "Оборудование связи"   
"Аппаратура  АНКА (передатчик)" ПанелЩитШкафСвяз 01.10.2002 "Оборудование связи"   
"р/телефон  Nokia 3120  деж пс 750" ПанелЩитШкафСвяз 31.05.2006 "Оборудование связи"   
"Передатчик ВЧТО-М" ПанелЩитШкафСвяз 01.10.2002 "Оборудование связи"   
"Приемник ВЧТО-М" ПанелЩитШкафСвяз 01.10.2002 "Оборудование связи"   
"Стойка промежуточных манипуляций СПМ" ПанелЩитШкафСвяз 01.10.2002 "Оборудование связи"   
"Аппаратура  АВПА (передатчик)" ПанелЩитШкафСвяз 01.10.2002 "Оборудование связи"   
"Аппаратура  АВПА (приемник)" ПанелЩитШкафСвяз 01.10.2002 "Оборудование связи"   
"Аппаратура  АНКА (передатчик)" ПанелЩитШкафСвяз 01.10.2002 "Оборудование связи"   
"Аппаратура  АНКА (приемник)" ПанелЩитШкафСвяз 01.10.2002 "Оборудование связи"   
"Профессиональный модем" ПанелЩитШкафСвяз 15.12.2004 "Оборудование связи"   
"Профессиональный модем" ПанелЩитШкафСвяз 15.12.2004 "Оборудование связи"   
"Стойка промежуточных манипуляций СПМ" ПанелЩитШкафСвяз 01.10.2002 "Оборудование связи"   
ВЧСП ПанелЩитШкафСвяз 01.10.2002 "Оборудование связи"   
"Линейный усилитель 80Вт ЛУС-80" ПанелЩитШкафСвяз 01.10.2002 "Оборудование связи"   
"Линейный усилитель 80Вт ЛУС-80" ПанелЩитШкафСвяз 01.10.2002 "Оборудование связи"   
"Мультимодем ТФМ-3/1" ПанелЩитШкафСвяз 01.10.2002 "Оборудование связи"   
"Радио-телефон КХ-ТС 1005 RU" ПанелЩитШкафСвяз 30.04.2003 "Оборудование связи"   
"Радиотелефон Panasonic KX-TC 120S RU 2KC" ПанелЩитШкафСвяз 13.05.2003 "Оборудование связи"   
"Стойка промежуточных манипуляций СПМ" ПанелЩитШкафСвяз 01.10.2002 "Оборудование связи"   
"Абон.р/станция FCT-CDMA.24" ПанелЩитШкафСвяз 29.06.2006 "Оборудование связи"   
"Приемник ВЧТО-М" ПанелЩитШкафСвяз 01.10.2002 "Оборудование связи"   
